frame,seconds,scene,mean_luma,stddev_luma,dark_fraction_le_5,white_fraction_ge_250,previous_frame_mad,changed_fraction_gt_8
164,5.466667,2,236.278194,26.65521,0.0,0.296528,0.070486,0.0
165,5.5,2,236.260972,26.674016,0.0,0.296181,0.071111,0.0
166,5.533333,2,236.285972,26.653271,0.0,0.296389,0.074444,0.0
167,5.566667,2,236.280764,26.654111,0.0,0.296319,0.061181,0.0
168,5.6,2,236.286875,26.642121,0.0,0.296389,0.065,0.0
169,5.633333,2,236.272083,26.653851,0.0,0.296389,0.063958,0.0
170,5.666667,2,236.290694,26.641659,0.0,0.296597,0.065278,0.0
171,5.7,2,236.285694,26.639067,0.0,0.296597,0.057778,0.0
172,5.733333,2,236.294306,26.629686,0.0,0.29625,0.058889,0.0
173,5.766667,2,236.274861,26.641968,0.0,0.295764,0.058194,0.0
174,5.8,2,236.295069,26.620584,0.0,0.295972,0.062292,0.0
175,5.833333,2,236.289792,26.621965,0.0,0.295833,0.050972,0.0
176,5.866667,2,236.297639,26.610136,0.0,0.295486,0.052986,0.0
177,5.9,2,236.276528,26.631752,0.0,0.295069,0.052222,0.0
178,5.933333,2,236.299861,26.614017,0.0,0.295069,0.057083,0.0
179,5.966667,2,236.291736,26.622311,0.0,0.294931,0.045625,0.0
180,6.0,2,236.301181,26.620644,0.0,0.294722,0.050278,0.0
181,6.033333,2,236.278958,26.644937,0.0,0.294514,0.047917,0.0
182,6.066667,2,236.304444,26.623605,0.0,0.294653,0.052708,0.0
183,6.1,2,236.298056,26.633566,0.0,0.294722,0.041806,0.0
184,6.133333,2,236.307292,26.630219,0.0,0.294514,0.040903,0.0
185,6.166667,2,236.284514,26.653228,0.0,0.294375,0.045139,0.0
186,6.2,2,236.312361,26.626594,0.0,0.294792,0.048403,0.0
187,6.233333,2,236.303819,26.644605,0.0,0.294931,0.039097,0.0
188,6.266667,2,236.314167,26.637149,0.0,0.295139,0.036458,0.0
189,6.3,2,236.289514,26.664463,0.0,0.295069,0.042569,0.0
190,6.333333,2,236.312153,26.651941,0.0,0.295278,0.044722,0.0
191,6.366667,2,236.302778,26.669015,0.0,0.295347,0.032153,0.0
192,6.4,2,236.311458,26.666508,0.0,0.295694,0.029653,0.0
193,6.433333,2,236.289653,26.696867,0.0,0.295556,0.0325,0.0
194,6.466667,2,236.311806,26.676691,0.0,0.295972,0.038958,0.0
195,6.5,2,236.304792,26.688485,0.0,0.296111,0.028125,0.0
196,6.533333,2,236.310903,26.687767,0.0,0.296389,0.0275,0.0
197,6.566667,2,236.291389,26.715605,0.0,0.296389,0.031597,0.0
198,6.6,2,236.288056,26.720434,0.0,0.296389,0.025417,0.0
