frame,seconds,scene,mean_luma,stddev_luma,dark_fraction_le_5,white_fraction_ge_250,previous_frame_mad,changed_fraction_gt_8
163,5.433333,2,235.91375,27.278241,0.0,0.295208,0.073125,6.9e-05
164,5.466667,2,235.905417,27.290799,0.0,0.295972,0.070556,0.0
165,5.5,2,235.917569,27.266874,0.0,0.296042,0.070903,6.9e-05
166,5.533333,2,235.913333,27.269504,0.0,0.295972,0.063542,0.0
167,5.566667,2,235.923056,27.250842,0.0,0.295764,0.068333,0.0
168,5.6,2,235.907917,27.26551,0.0,0.295903,0.067083,0.0
169,5.633333,2,235.920625,27.24827,0.0,0.296111,0.065069,0.0
170,5.666667,2,235.917986,27.247243,0.0,0.296181,0.061806,0.0
171,5.7,2,235.926944,27.237672,0.0,0.29625,0.060625,0.0
172,5.733333,2,235.914653,27.247943,0.0,0.296042,0.056181,0.0
173,5.766667,2,235.927222,27.22581,0.0,0.295972,0.060764,0.0
174,5.8,2,235.924306,27.222549,0.0,0.295694,0.05375,0.0
175,5.833333,2,235.929514,27.213185,0.0,0.295625,0.053819,0.0
176,5.866667,2,235.918819,27.221017,0.0,0.295556,0.052917,0.0
177,5.9,2,235.930417,27.205497,0.0,0.295278,0.056181,0.0
178,5.933333,2,235.929028,27.205743,0.0,0.295139,0.047222,0.0
179,5.966667,2,235.933194,27.202004,0.0,0.295069,0.047361,0.0
180,6.0,2,235.921111,27.218757,0.0,0.294792,0.048611,0.0
181,6.033333,2,235.935278,27.195414,0.0,0.294722,0.050556,0.0
182,6.066667,2,235.929653,27.205453,0.0,0.294583,0.044097,0.0
183,6.1,2,235.935972,27.202838,0.0,0.294444,0.044653,0.0
184,6.133333,2,235.922292,27.226733,0.0,0.294375,0.042708,0.0
185,6.166667,2,235.936736,27.210148,0.0,0.294444,0.048333,0.0
186,6.2,2,235.93125,27.225981,0.0,0.294236,0.041042,0.0
187,6.233333,2,235.936944,27.224808,0.0,0.294306,0.038889,0.0
188,6.266667,2,235.924028,27.250325,0.0,0.294306,0.040278,0.0
189,6.3,2,235.939583,27.240533,0.0,0.294236,0.040972,0.0
190,6.333333,2,235.936597,27.252924,0.0,0.294097,0.033819,0.0
